id,brand,type,model,imageurl,power,numberofpeople,capacityforbags,priceindollars,priceperkilometer,pricefordriverperday,numberofvehiclesavailable,description
f7e54e15-1327-45ce-9d96-4a98fbcd7fbc,Toyota,EV,Sienna EV,https://drive.google.com/file/d/1DHBM_g8i3lbGVujhPdLaN93uDCSB8h9L/view?usp=sharing,201,7,5,200,0.8,90,8,"The Toyota Sienna EV is an all-electric minivan that offers spacious seating and versatile cargo options. With its advanced features and smooth ride, it's perfect for family road trips and daily errands."
8abbfa2f-d726-4d6d-8029-e50f9335dee8,Toyota,EV,Supra EV,https://drive.google.com/file/d/1DHBM_g8i3lbGVujhPdLaN93uDCSB8h9L/view?usp=sharing,335,2,2,250,0.9,100,6,"The Toyota Supra EV is an all-electric sports car that offers exhilarating performance and sleek styling. With its powerful engine and agile handling, it's perfect for drivers who crave excitement behind the wheel."
08357fe8-fe10-46ea-9958-6af7289dd8c9,Toyota,EV,Prius EV,https://drive.google.com/file/d/1E-K01u0AH28W7aZVn00Lei16-f4xky5E/view?usp=sharing,120,5,3,160,0.65,70,5,"The Toyota Prius EV is an all-electric version of the iconic hybrid car that started the eco-revolution. With its efficient design and advanced technology, it's perfect for drivers who want to reduce their carbon footprint without sacrificing performance."
75acc1ad-2b77-4325-a429-8bbe0f895ced,Nissan,Car,Sunny,https://drive.google.com/file/d/1vOK-ZK-uLiQmpQEeuXdUgqz0r55Pi3ha/view?usp=sharing,100,5,2,60,0.25,25,5,"The Nissan Sunny is a reliable and spacious sedan suitable for family outings and city commutes. With its fuel-efficient engine and comfortable interior, it provides a smooth driving experience for passengers."
e86aa88b-f40c-4a74-812f-ec9b15383c94,Nissan,Car,Almera,https://drive.google.com/file/d/1fTnp81ADd2299F88SJezLxRhAaExHLd5/view?usp=sharing,110,5,3,65,0.27,28,3,The Nissan Almera is a versatile and stylish sedan designed for urban adventures and long drives. Its spacious cabin and advanced safety features make it an ideal choice for both solo travelers and families.
1cee310e-aa5b-420a-9779-615c1789f149,Nissan,Car,Micra,https://drive.google.com/file/d/15kUEtlpJX7RHDXpSqxcXMoQKsx8WeEhR/view?usp=sharing,90,4,2,55,0.22,20,4,The Nissan Micra is a compact and agile hatchback perfect for navigating crowded city streets with ease. Its fuel-efficient engine and nimble handling make it an excellent choice for urban commuters.
0b111fd3-76e1-43d0-a8da-d7d29adb57bc,Hyundai,Car,Elantra,https://drive.google.com/file/d/1L_lJAY5T9sAmytuz92q36Zj5VB1gjRtO/view?usp=sharing,147,5,4,220,0.8,100,7,"The Hyundai Elantra is a compact car that offers style, performance, and efficiency. With its spacious interior and advanced safety features, it's perfect for everyday commuting and weekend road trips."
258aa9af-31bb-4d07-b346-ed78c78c21df,Hyundai,Car,Sonata,https://drive.google.com/file/d/1o8D-KOxCXdIP8vcDTERA1ei9h0ue3t5M/view?usp=sharing,191,5,4,240,0.85,110,6,"The Hyundai Sonata is a midsize sedan that offers comfort, convenience, and performance. With its sleek design and advanced technology, it's perfect for both daily commuting and long-distance travel."
7e4ddb69-6b78-4e79-945c-e2d28a314fb8,Hyundai,Car,Accent,https://drive.google.com/file/d/14omP3HCaUVCeh1wicOlDEHelp0T5YjDf/view?usp=sharing,120,5,3,190,0.75,90,8,"The Hyundai Accent is a subcompact car that offers efficiency, reliability, and affordability. With its compact size and fuel-efficient engine, it's perfect for city driving and urban exploration."
85353cf9-c9d9-44d8-889a-4fc9726e9206,Hyundai,Car,Venue,https://drive.google.com/file/d/1mAbxYrqcfs4o_iP_KI2zUOVhTQfzcRID/view?usp=sharing,121,5,3,200,0.8,95,9,"The Hyundai Venue is a compact crossover that offers versatility, style, and performance. With its modern design and advanced technology, it's perfect for urban adventurers and weekend road trips."
19caf767-79f7-4762-a405-ce74a1dab402,Hyundai,Car,Ioniq Hybrid,https://drive.google.com/file/d/1-pF-NoNjzwP-iNGSD_Zz5OBQ5WQCTcGm/view?usp=sharing,139,5,4,230,0.85,105,7,"The Hyundai Ioniq Hybrid is a fuel-efficient car that offers eco-friendly driving and advanced technology. With its hybrid powertrain and spacious interior, it's perfect for drivers who want to reduce their carbon footprint without sacrificing performance."
1cc8d0b2-6f6a-4be9-845f-e0a6930d6e97,Hyundai,Car,Kona,https://drive.google.com/file/d/1k58zCFn7IYOxbuLWx26cJihFrejAM44E/view?usp=sharing,147,5,4,240,0.9,110,6,"The Hyundai Kona is a subcompact SUV that offers style, versatility, and performance. With its rugged design and advanced safety features, it's perfect for urban exploration and weekend adventures."
691c1ae4-7ec3-461f-b620-9cd523d8bf42,Hyundai,Car,Palisade,https://drive.google.com/file/d/1zPpu_XIiVGKWQea0MOORCxmautpVfloV/view?usp=sharing,291,8,6,300,0.95,120,5,"The Hyundai Palisade is a full-size SUV that offers luxury, comfort, and performance. With its spacious interior and premium features, it's perfect for family road trips and weekend getaways."
703cc049-a31d-44dd-b8ac-411931f4ea9c,Hyundai,Car,Tucson,https://drive.google.com/file/d/1Q2oif-uxFI6dPMtqsq1emGjPOY1KsEOQ/view?usp=sharing,187,5,4,250,0.9,115,7,"The Hyundai Tucson is a compact SUV that offers comfort, performance, and versatility. With its spacious cabin and advanced technology, it's perfect for both daily commuting and weekend adventures."
77c01bf4-a0e9-4a0f-bcf1-f2e8abeb7c78,Hyundai,Car,Santa Fe,https://drive.google.com/file/d/1ULaNAuqFXydJg4LdJeyNNulxlnhs3IPQ/view?usp=sharing,191,5,4,260,0.95,120,6,"The Hyundai Santa Fe is a midsize SUV that offers comfort, performance, and versatility. With its spacious interior and advanced safety features, it's perfect for family road trips and outdoor adventures."
c36f40e2-eba6-4039-8fa4-65c86ad0e5b7,Nissan,Car,Versa,https://drive.google.com/file/d/13V7odncaVrJxbO8qiMTur8m2JJxpE1Et/view?usp=sharing,95,5,2,58,0.24,22,6,"The Nissan Versa is a sleek and modern sedan offering exceptional fuel efficiency and ample cargo space. Whether you're running errands in the city or embarking on a road trip, the Versa delivers a comfortable and enjoyable ride."
ead06b8b-64a9-4e02-ac8b-2806430832dc,Nissan,Car,Altima,https://drive.google.com/file/d/1kV4OuWhXukFROFuYMN4p_0XrEjuvW-jk/view?usp=sharing,120,5,3,70,0.28,30,7,"The Nissan Altima combines performance, comfort, and style in one impressive package. With its powerful engine, spacious interior, and advanced technology features, the Altima is the perfect choice for discerning drivers seeking an elevated driving experience."
d2ee1274-1a7c-44a6-a117-d09a65035705,BMW,Car,3 Series,https://drive.google.com/file/d/1qDygQkizdUSv3IiqX8yWtbcfTy8_GYZu/view?usp=sharing,255,5,3,120,0.5,60,5,"The BMW 3 Series combines luxury and performance in a compact and stylish package. With its powerful engine and responsive handling, it delivers an exhilarating driving experience."
4451f51d-a87d-421f-bc43-c3f35e66c3d9,BMW,Car,5 Series,https://drive.google.com/file/d/1AkAzvO7lITpcfiMMlmS7qUVAjp47202H/view?usp=sharing,335,5,4,150,0.6,70,3,"The BMW 5 Series offers exceptional comfort, performance, and technology features. With its spacious interior and advanced driver assistance systems, it's the perfect choice for both business and leisure travel."
71eb2fdf-7f62-4b4e-a93c-c2d600c3ed8d,BMW,Car,7 Series,https://drive.google.com/file/d/1AvAVnLIPxSJ3ocVi0GHiwEmdTtTadi69/view?usp=sharing,456,5,4,200,0.7,80,2,"The BMW 7 Series sets the standard for luxury and performance in the full-size sedan segment. With its powerful engine and opulent interior, it offers a first-class driving experience."
13f58321-34a0-4722-9346-2c71f3871ff4,BMW,Car,X1,https://drive.google.com/file/d/11Iq0vJ2ZsnkKOcCbNxvOh8lggIa12lyW/view?usp=sharing,228,5,3,130,0.55,65,4,"The BMW X1 is a versatile and sporty compact SUV that offers ample cargo space and responsive handling. With its upscale interior and advanced technology features, it's perfect for urban adventures or long road trips."
6e770cfd-534f-4848-a2fe-8a0a12fc3ffa,BMW,Car,X3,https://drive.google.com/file/d/1EFsfZ8pYLdKZmLCmQuVfw11sOQLCJThK/view?usp=sharing,248,5,4,140,0.6,70,3,"The BMW X3 combines the versatility of an SUV with the luxury and performance of a BMW. With its spacious interior and robust engine options, it's the perfect vehicle for everyday use or weekend getaways."
7fbe7db8-200f-46df-87ec-dc35a0fa6a28,Volkswagen,Car,Golf,https://drive.google.com/file/d/1wOx4xdu29OD9Al2EwXFPkrRMkQp8xIgR/view?usp=sharing,147,5,3,100,0.4,50,7,The Volkswagen Golf is a versatile and reliable compact car known for its spacious interior and fuel-efficient engine.
944481d2-bfdf-4d21-b971-b7e3bee24f64,Volkswagen,Car,Passat,https://drive.google.com/file/d/154k9OwXilRJuVwRK9M1Z9sX9TQ-xpYLt/view?usp=sharing,174,5,4,120,0.45,60,6,"The Volkswagen Passat offers a comfortable ride, ample cargo space, and advanced technology features for a premium driving experience."
8c02f3f5-2903-4c9e-8a32-15d8784d88f1,Volkswagen,Car,Jetta,https://drive.google.com/file/d/1P-ydIWhTS3jjT0J6RLMTdvHd7zdt4ohv/view?usp=sharing,147,5,3,110,0.42,55,5,The Volkswagen Jetta is a stylish and fuel-efficient sedan that delivers a smooth and enjoyable driving experience.
eb5d8ade-c42c-4e58-8684-939b4f134634,Volkswagen,Car,Tiguan,https://drive.google.com/file/d/198kHWWxYn7t4SFOovdvMcw9WBb0rR0Um/view?usp=sharing,184,5,4,130,0.48,65,7,The Volkswagen Tiguan is a versatile and spacious SUV with comfortable seating and advanced safety features.
e22c8c39-1af8-4926-b44e-e857c906ff60,Volkswagen,Car,Arteon,https://drive.google.com/file/d/1Tf776jbuUw00Ju3lAW8hJUEzElW2ZxmW/view?usp=sharing,268,5,4,150,0.55,70,6,The Volkswagen Arteon is a premium sedan that combines elegant design with powerful performance and advanced technology.
5cb98770-b487-4bbb-b16d-3147cacf40f0,Volkswagen,Car,Beetle,https://drive.google.com/file/d/1pZK2OX2cgQSXgopjofirV9ByK_ZVKN6t/view?usp=sharing,174,4,2,90,0.35,45,5,The Volkswagen Beetle is an iconic compact car with retro styling and nimble handling.
fddfeb88-903e-4f0d-97ab-3269998da51c,Volkswagen,Car,Atlas,https://drive.google.com/file/d/1YuYgBCHeJSVwyM03upz5NKwja4V0_BTb/view?usp=sharing,276,7,5,160,0.6,75,8,The Volkswagen Atlas is a spacious and family-friendly SUV with seating for up to seven passengers and ample cargo space.
6a96c1f7-ffe8-467b-a2d4-8feab5587d93,Toyota,Car,Camry,https://drive.google.com/file/d/1FFWHslZSoNW25e0X-1qlvCqUz9XLzs2J/view?usp=sharing,203,5,4,160,0.65,75,8,"The Toyota Camry is a reliable and fuel-efficient sedan that offers spacious seating for up to five passengers and ample cargo space. With its smooth ride and advanced safety features, it's perfect for both daily commuting and long road trips."
85747f7b-e3bd-4bbd-b18c-ddb2796b8fe7,Toyota,Car,Corolla,https://drive.google.com/file/d/1rd3VPphs5rkCKpGMe3CtDF3_Xd_iClSL/view?usp=sharing,139,5,3,140,0.55,70,6,"The Toyota Corolla is a compact and fuel-efficient sedan that offers comfortable seating for up to five passengers and a smooth ride. With its reliable engine and affordable price, it's perfect for budget-conscious drivers."
7bb6b176-6422-4520-a32a-2de0f44b79c9,Toyota,Car,Prius,https://drive.google.com/file/d/1BpDxdqISASwDZi93Hnb6tnC_b1Vmj75n/view?usp=sharing,121,5,3,150,0.6,80,7,"The Toyota Prius is a popular hybrid car known for its exceptional fuel efficiency and eco-friendly design. With its spacious interior and advanced technology features, it's perfect for environmentally-conscious drivers who want to reduce their carbon footprint."
e76be004-0967-47f6-b1f9-042db1282092,Volkswagen,Van,Transporter,https://drive.google.com/file/d/1cQH4ETJXLJf4ael4hHO--qAPi1pgoJZM/view?usp=sharing,148,9,8,100,0.4,50,5,"The Volkswagen Transporter is a versatile and reliable van that offers ample space and comfortable seating for up to 9 passengers. With its efficient engine and spacious cargo area, it's perfect for family trips or commercial use."
0080656e-f57c-4fe6-99f0-1b150cf3cb4f,Volkswagen,Van,Crafter,https://drive.google.com/file/d/1CcfL_nqVjFe_ic8pdC-r03CGJlFqhVwF/view?usp=sharing,138,8,6,90,0.35,45,4,"The Volkswagen Crafter is a reliable and versatile van that offers spacious seating for up to 8 passengers. With its powerful engine and flexible cargo space, it's perfect for transporting passengers or goods."
12b38a24-b18b-42e3-98f2-8638dcbf2b9f,Volkswagen,Van,Multivan,https://drive.google.com/file/d/16QDDO1kVz2h3KH_gHvjTWgTIDL6Ac_Lt/view?usp=sharing,201,7,5,110,0.45,55,3,"The Volkswagen Multivan is a premium passenger van that offers luxurious amenities and spacious seating for up to 7 passengers. With its powerful engine and upscale interior, it's perfect for family vacations or corporate travel."
f5ea5560-9d2f-4f57-b4ce-c789c82c1279,Volkswagen,Van,California,https://drive.google.com/file/d/1SZeOt-yWUtJrFNuSVM0nBRPSDYZqtc6M/view?usp=sharing,174,4,4,120,0.5,60,2,"The Volkswagen California is an iconic camper van that offers freedom and adventure on the open road. With its versatile interior and comfortable sleeping accommodations for up to 4 people, it's the perfect vehicle for outdoor enthusiasts."
37f3961e-ce78-4853-a0d9-b0b591d8741c,Volkswagen,Van,Caravelle,https://drive.google.com/file/d/1YH6897ilpw0YIseNJQ6NNn7a-n6fuVos/view?usp=sharing,148,8,6,100,0.4,50,5,"The Volkswagen Caravelle is a versatile and spacious van that offers comfortable seating for up to 8 passengers. With its flexible seating arrangements and ample cargo space, it's perfect for family trips or transporting goods."
fb95d5b7-01d5-4584-9ac4-0708a0bb56cc,Hyundai,SUV,Santa Fe,https://drive.google.com/file/d/1e9UAzXg3oq5Y_4pQCG-ybI3mPCtbVpSI/view?usp=sharing,191,5,4,210,0.75,90,8,"The Hyundai Santa Fe is a versatile SUV that offers comfort, performance, and safety. With its spacious interior and advanced technology, it's perfect for family adventures and daily commutes."
58c52f02-27e7-44d3-a91d-c95390bf244d,Hyundai,SUV,Tucson,https://drive.google.com/file/d/1hjfMZxyTeUpT1ptLvXB6hiyUvIKKbMV9/view?usp=sharing,187,5,4,200,0.7,80,9,"The Hyundai Tucson is a compact SUV that offers style, performance, and versatility. With its modern design and advanced features, it's perfect for urban driving and outdoor adventures."
